entity:soil4_sample_id	metagenome_size_in_gbp	singlem_table	sra_accession
ERR1700743	15	gs://fc-e68b90c4-861d-4507-8118-e88d1e871567/f243324e-8497-4a3b-be2f-7309866a85dd/SingleM_SRA/47b96c05-1ec7-42a7-a315-6dce9112cc36/call-singlem/attempt-2/ERR1700743.singlem.json.gz	ERR1700743
ERR1700744	20	undefined	ERR1700744
ERR1700745	17	gs://fc-e68b90c4-861d-4507-8118-e88d1e871567/f243324e-8497-4a3b-be2f-7309866a85dd/SingleM_SRA/22d18469-06b0-4b06-a987-d9f4ad451fa7/call-singlem/attempt-2/ERR1700745.singlem.json.gz	ERR1700745
ERR1700747	14	gs://fc-e68b90c4-861d-4507-8118-e88d1e871567/f243324e-8497-4a3b-be2f-7309866a85dd/SingleM_SRA/f046041e-8d57-464f-9749-9d6872dee2c2/call-singlem/ERR1700747.singlem.json.gz	ERR1700747
ERR1700749	20	gs://fc-e68b90c4-861d-4507-8118-e88d1e871567/f243324e-8497-4a3b-be2f-7309866a85dd/SingleM_SRA/7476c241-5c6a-4533-b131-380713a10dab/call-singlem/ERR1700749.singlem.json.gz	ERR1700749
ERR1700750	15	undefined	ERR1700750
ERR1700751	20	gs://fc-e68b90c4-861d-4507-8118-e88d1e871567/f243324e-8497-4a3b-be2f-7309866a85dd/SingleM_SRA/b2877693-6ed9-442b-87f5-a2a24850f055/call-singlem/ERR1700751.singlem.json.gz	ERR1700751
ERR1700752	20	gs://fc-e68b90c4-861d-4507-8118-e88d1e871567/f243324e-8497-4a3b-be2f-7309866a85dd/SingleM_SRA/eeac7662-5881-4d5b-a3de-95bea1f2c53e/call-singlem/attempt-4/ERR1700752.singlem.json.gz	ERR1700752
ERR1700754	17	gs://fc-e68b90c4-861d-4507-8118-e88d1e871567/f243324e-8497-4a3b-be2f-7309866a85dd/SingleM_SRA/d2b81455-349c-4c4f-86b5-f646c85cb691/call-singlem/ERR1700754.singlem.json.gz	ERR1700754
ERR1700755	16	gs://fc-e68b90c4-861d-4507-8118-e88d1e871567/f243324e-8497-4a3b-be2f-7309866a85dd/SingleM_SRA/25238ac4-5ad7-45a0-a072-b50c3025c3cb/call-singlem/ERR1700755.singlem.json.gz	ERR1700755
